# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Tue Dec 17 16:35:27 2024
# Radiative transfer took 2.968 seconds
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total N2 O2 CO2 H2O O3 NO NO2 N2O HNO3 Water WaterIce Rayleigh CIA
4.000000000e+00 7.65645e-01 9.99955e-01 9.99999e-01 9.94963e-01 9.99981e-01 9.99930e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.46271e-01 9.99931e-01 8.13370e-01
4.065400000e+00 5.56654e-01 9.99636e-01 9.99999e-01 9.96774e-01 9.99991e-01 9.99964e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.46215e-01 9.99935e-01 5.90466e-01
4.130800000e+00 3.59303e-01 9.99207e-01 9.99999e-01 9.86552e-01 9.99992e-01 9.99806e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.45906e-01 9.99939e-01 3.85361e-01
4.196200000e+00 1.01485e-02 9.98844e-01 9.99999e-01 3.22618e-02 9.99989e-01 9.99922e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.45335e-01 9.99943e-01 3.32779e-01
4.261600000e+00 0.00000e+00 9.99474e-01 9.99999e-01 0.00000e+00 9.99967e-01 9.99936e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.44835e-01 9.99946e-01 2.71059e-01
4.327000000e+00 3.72217e-42 9.99177e-01 9.99999e-01 1.27749e-41 9.99902e-01 9.99976e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.44467e-01 9.99949e-01 3.08515e-01
4.392400000e+00 7.81277e-10 9.99444e-01 9.99999e-01 1.68272e-09 9.99699e-01 9.99799e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.44291e-01 9.99952e-01 4.91716e-01
4.457800000e+00 8.84005e-02 9.99676e-01 9.99999e-01 1.55300e-01 9.99334e-01 9.98437e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.44300e-01 9.99955e-01 6.02926e-01
4.523200000e+00 6.87632e-01 9.99891e-01 9.99999e-01 9.60905e-01 9.98686e-01 9.96109e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.44253e-01 9.99957e-01 7.60747e-01
4.588600000e+00 8.31315e-01 9.99970e-01 9.99999e-01 9.98417e-01 9.98467e-01 9.94255e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.44108e-01 9.99960e-01 8.88235e-01
4.654000000e+00 8.83750e-01 9.99994e-01 9.99999e-01 9.95558e-01 9.86974e-01 9.96925e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43696e-01 9.99962e-01 9.55117e-01
4.719400000e+00 6.69592e-01 9.99998e-01 9.99999e-01 9.33031e-01 9.90548e-01 7.48324e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43381e-01 9.99964e-01 9.82639e-01
4.784800000e+00 6.60331e-01 9.99999e-01 9.99999e-01 7.79578e-01 9.81329e-01 8.34980e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43727e-01 9.99966e-01 9.91997e-01
4.850200000e+00 5.40552e-01 9.99999e-01 9.99999e-01 5.81523e-01 9.67491e-01 9.74061e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.44074e-01 9.99967e-01 9.94934e-01
4.915600000e+00 8.44241e-01 9.99999e-01 9.99999e-01 9.28811e-01 9.54364e-01 9.91320e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.44483e-01 9.99969e-01 9.95258e-01
4.981000000e+00 8.69476e-01 9.99999e-01 9.99999e-01 9.90502e-01 9.31114e-01 9.97280e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.45176e-01 9.99971e-01 9.94685e-01
5.046400000e+00 8.85432e-01 9.99999e-01 9.99999e-01 9.97036e-01 9.41048e-01 9.99462e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.45945e-01 9.99972e-01 9.96641e-01
5.111800000e+00 8.32017e-01 9.99999e-01 9.99999e-01 9.86518e-01 8.89368e-01 9.99858e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.46659e-01 9.99973e-01 9.94564e-01
5.177200000e+00 6.94624e-01 9.99999e-01 9.99999e-01 8.68127e-01 7.76592e-01 9.99952e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.47004e-01 9.99975e-01 9.91067e-01
5.242600000e+00 7.02564e-01 9.99999e-01 9.99999e-01 8.95730e-01 7.91056e-01 9.99916e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.46932e-01 9.99976e-01 9.85375e-01
5.308000000e+00 7.44884e-01 9.99999e-01 9.99999e-01 9.92660e-01 8.08915e-01 9.99594e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.46403e-01 9.99977e-01 9.77057e-01
5.373400000e+00 6.64554e-01 9.99999e-01 9.99999e-01 9.97495e-01 7.32924e-01 9.98550e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.45768e-01 9.99978e-01 9.59894e-01
5.438800000e+00 3.89244e-01 9.99999e-01 9.99999e-01 9.99830e-01 4.41173e-01 9.96981e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.44923e-01 9.99979e-01 9.34121e-01
5.504200000e+00 4.90901e-01 9.99999e-01 9.99999e-01 9.99976e-01 5.74185e-01 9.93355e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43939e-01 9.99980e-01 9.06678e-01
5.569600000e+00 2.26452e-01 9.99999e-01 9.99999e-01 9.99995e-01 2.76099e-01 9.95878e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43076e-01 9.99981e-01 8.70008e-01
5.635000000e+00 1.48107e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.90851e-01 9.96506e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42658e-01 9.99982e-01 8.23512e-01
5.700400000e+00 8.95618e-02 9.99999e-01 9.99999e-01 9.99999e-01 1.24364e-01 9.95779e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42239e-01 9.99982e-01 7.64515e-01
5.765800000e+00 7.91195e-02 9.99999e-01 9.99999e-01 9.99999e-01 1.22293e-01 9.79210e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42307e-01 9.99983e-01 6.87035e-01
5.831200000e+00 5.47476e-02 9.99999e-01 9.99998e-01 9.99999e-01 9.82823e-02 9.79342e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42614e-01 9.99984e-01 5.91475e-01
5.896600000e+00 1.31934e-02 9.99999e-01 9.99988e-01 9.99998e-01 2.76169e-02 9.94179e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.42863e-01 9.99985e-01 5.06812e-01
5.962000000e+00 9.50408e-03 9.99999e-01 9.99970e-01 9.99994e-01 2.33135e-02 9.99541e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43002e-01 9.99985e-01 4.32326e-01
6.027400000e+00 2.06998e-02 9.99999e-01 9.99887e-01 9.99994e-01 5.80405e-02 9.99959e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43142e-01 9.99986e-01 3.78152e-01
6.092800000e+00 1.26738e-02 9.99999e-01 9.99677e-01 9.99998e-01 3.99500e-02 9.99996e-01 9.99999e-01 9.99994e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43202e-01 9.99986e-01 3.36350e-01
6.158200000e+00 1.40671e-02 9.99999e-01 9.99727e-01 9.99999e-01 4.69728e-02 9.99999e-01 9.99999e-01 9.99990e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.43150e-01 9.99987e-01 3.17531e-01
