wl_pl (micron)	Fp_w1	snr_w1
4.040404040404040664e+00	nan	nan
4.122028364452606120e+00	5.284548806659315014e+05	9.827967980139311333e-02
4.205301664744578893e+00	6.847141229335400567e+04	1.298110869131691679e-02
4.290257253931337722e+00	2.184478273869957775e+03	4.135723476133407986e-04
4.376929117647121892e+00	1.787282573184011562e+05	3.498051930018074296e-02
4.465351928104639434e+00	3.881348701541038463e+05	7.917314621836711586e-02
4.555561057965339167e+00	2.360950039073641528e+04	4.904438692181047402e-03
4.647592594489891482e+00	1.385521501392936625e+04	3.007163971856538585e-03
4.741483353974536463e+00	1.498123961375781255e+04	3.486565284866622975e-03
4.837270896479072491e+00	1.789652733779541450e+05	4.375674076808196145e-02
4.934993540852387284e+00	7.610960525568398880e+05	1.950987692252316719e-01
5.034690380061525694e+00	1.038263282883927575e+06	2.872269541473675969e-01
5.136401296830445773e+00	9.631229633240178227e+05	2.876458724390439370e-01
5.240166979594697239e+00	8.277134106782331364e+05	2.616316180334836705e-01
5.346028938778427886e+00	9.653125361950006336e+05	3.246108896940932964e-01
5.454029523400214963e+00	8.022567120899996953e+05	2.923390125060389977e-01
5.564211938014360648e+00	7.492657653649472632e+05	2.946925241132837825e-01
5.676620259994448858e+00	6.530413286926574074e+05	2.732810052537460455e-01
5.791299457166053877e+00	6.577747170018185861e+05	2.936538069520502336e-01
5.908295405795671584e+00	5.590830045332723530e+05	2.698766667258280516e-01
6.027654908943058665e+00	6.434651277101853630e+05	3.362600155709584149e-01
6.149425715184332120e+00	8.552794757404669654e+05	4.792791032746037683e-01
6.273656537713309334e+00	1.460190498669091379e+06	8.748825773680971585e-01
6.400397073828729688e+00	8.162217689285129309e+05	5.271057274570996043e-01
6.529698024815169255e+00	6.602103025241643190e+05	4.623404910329318995e-01
6.661611116225575557e+00	7.326693938474378083e+05	5.546139114377176549e-01
6.796189118573567001e+00	8.531126576177799143e+05	6.937239184653956059e-01
6.933485868443741040e+00	1.288785281486497726e+06	1.124621650567810827e+00
7.073556290028461646e+00	1.793159793599894736e+06	1.685832719218727682e+00
7.216456417099744947e+00	1.931207862698919140e+06	1.960900317777876767e+00
7.362243415424991611e+00	1.566839076715295669e+06	1.713623577721220981e+00
7.510975605635596963e+00	1.870871929090668447e+06	2.191682472453836628e+00
7.662712486557527569e+00	1.791020063788539730e+06	2.240138141453026144e+00
7.817514759013236336e+00	2.171338493948241696e+06	2.898211535377290815e+00
7.975444350104412550e+00	2.841656456649092492e+06	4.048366057307579702e+00
8.136564437985310150e+00	4.684485839132228866e+06	7.104708219572445138e+00
8.300939477136529021e+00	7.179500501205054112e+06	1.153386211100189662e+01
8.468635224149389629e+00	8.450364445257658139e+06	1.431440923130686826e+01
8.639718764031194098e+00	1.008215124296018481e+07	1.792820626480225243e+01
8.814258537041927966e+00	1.111957846737261675e+07	2.071182085806413653e+01
8.992324366073077613e+00	1.148902486320296489e+07	2.238223298580826182e+01
9.173987484579601670e+00	1.182591771309723519e+07	2.402653584140708176e+01
9.359320565076162168e+00	1.193750206716322713e+07	2.518895276296552765e+01
9.548397748209012548e+00	1.238146852176996693e+07	2.698242333760217093e+01
9.741294672415254041e+00	1.287330444748326577e+07	2.882280743677815593e+01
9.938088504181219918e+00	1.324673490192831680e+07	3.034294579218998322e+01
1.013885796891215385e+01	1.336643434416096471e+07	3.122454123492744671e+01
1.034368338242552987e+01	1.328546810027171485e+07	3.156271342388684431e+01
1.055264668308059228e+01	1.341612880212747306e+07	3.230143702864303634e+01
1.076583146455696749e+01	1.367483601103203371e+07	3.323405364797795869e+01
1.098332300929549277e+01	1.357878594041376747e+07	3.318189846563568324e+01
1.120520832261459354e+01	1.281688177849999815e+07	3.138009338436510376e+01
1.143157616751589778e+01	1.142303285956418328e+07	2.793195675876205897e+01
1.166251710019298748e+01	9.649865276223609224e+06	2.350068824201676065e+01
1.189812350625749282e+01	8.793722736092628911e+06	2.125374650965514789e+01
1.213848963769703637e+01	9.074998254043322057e+06	2.169736909888527165e+01
1.238371165057980683e+01	9.241082084952443838e+06	2.182003594304630667e+01
1.263388764352081139e+01	1.010025178781961091e+07	2.349105197331708084e+01
1.288911769692527365e+01	1.159048655839707702e+07	2.648181712826868761e+01
1.314950391302477506e+01	1.177135747974628210e+07	2.639731175969411936e+01
1.341515045672224282e+01	1.029146101432900876e+07	2.263702025029463627e+01
1.368616359726208742e+01	9.868897983159719035e+06	2.123101716749636125e+01
1.396265175074213083e+01	7.802813182318129577e+06	1.641644440450924591e+01
1.424472552348439613e+01	5.749964725742986426e+06	1.181802773616160174e+01
1.453249775628206031e+01	3.627023038033454213e+06	7.277961375560523472e+00
1.482608356954028395e+01	3.104448159194907639e+06	6.071929827264965773e+00
1.512560040932897643e+01	3.334491506579136010e+06	6.351988064464491934e+00
1.543116809436592263e+01	3.968073140603789594e+06	7.357745837192807947e+00
1.574290886394907574e+01	6.122164850363697857e+06	1.103426452341626351e+01
1.606094742685713683e+01	7.922800772144743241e+06	1.387545264503524223e+01
1.638541101123809085e+01	8.987982375788738951e+06	1.529144506195895659e+01
1.671642941550552308e+01	9.272844510643720627e+06	1.532097518366487954e+01
1.705413506026321002e+01	9.852354429184582084e+06	1.579623560160503359e+01
1.739866304127863117e+01	1.019400458222127520e+07	1.585469922940471044e+01
1.775015118352667898e+01	1.028599504263972491e+07	1.551738416214264937e+01
1.810874009632519943e+01	1.009635330277026258e+07	1.477605651507570883e+01
1.839491374864422824e+01	nan	nan
