wl_pl (micron)	Fp_w1	snr_w1
4.040404040404040664e+00	nan	nan
4.122028364452606120e+00	6.437302742982946802e+05	1.197177610665739328e-01
4.205301664744578893e+00	6.837424398089421447e+04	1.296268713013564063e-02
4.290257253931337722e+00	2.246277700918575647e+03	4.252724102589946131e-04
4.376929117647121892e+00	1.786731960203275958e+05	3.496974280940672031e-02
4.465351928104639434e+00	3.951973056416186155e+05	8.061375058210419609e-02
4.555561057965339167e+00	2.528818053892381795e+04	5.253153287864145704e-03
4.647592594489891482e+00	1.517177620469650356e+04	3.292912937136841488e-03
4.741483353974536463e+00	1.638215275132301031e+04	3.812597861540182546e-03
4.837270896479072491e+00	1.816218164932407090e+05	4.440625680177882895e-02
4.934993540852387284e+00	8.065274074190162355e+05	2.067441909006363654e-01
5.034690380061525694e+00	1.200428675191576360e+06	3.320860208408675796e-01
5.136401296830445773e+00	1.039873619705502526e+06	3.105668864615191427e-01
5.240166979594697239e+00	7.685492172988147940e+05	2.429312984324288327e-01
5.346028938778427886e+00	8.981550747590920655e+05	3.020288417821606064e-01
5.454029523400214963e+00	5.829475023969074246e+05	2.124271208238121267e-01
5.564211938014360648e+00	4.468767572009143769e+05	1.757647981730901809e-01
5.676620259994448858e+00	2.869670753179335734e+05	1.200923898637449166e-01
5.791299457166053877e+00	2.484836072631948628e+05	1.109364769552585867e-01
5.908295405795671584e+00	1.469371967413194070e+05	7.093183695945991241e-02
6.027654908943058665e+00	1.683216647118599794e+05	8.796633625225083741e-02
6.149425715184332120e+00	2.622083860897581908e+05	1.469479522976024632e-01
6.273656537713309334e+00	7.615275060177056585e+05	4.563244255038994002e-01
6.400397073828729688e+00	2.431160876598442264e+05	1.570171539790730375e-01
6.529698024815169255e+00	2.123813405420529307e+05	1.487422396383672740e-01
6.661611116225575557e+00	2.990670757292980561e+05	2.264085277955892039e-01
6.796189118573567001e+00	4.908750258817249560e+05	3.991993632516328550e-01
6.933485868443741040e+00	8.394648502043077024e+05	7.326250098689354173e-01
7.073556290028461646e+00	1.314110980428913608e+06	1.235637008034104367e+00
7.216456417099744947e+00	1.469591296678922372e+06	1.492420144131192394e+00
7.362243415424991611e+00	1.418378154371569166e+06	1.551341439544878353e+00
7.510975605635596963e+00	1.744168875587314367e+06	2.043360990385152398e+00
7.662712486557527569e+00	1.711945627584506059e+06	2.141313036092039823e+00
7.817514759013236336e+00	2.157517882880469784e+06	2.879784583594434899e+00
7.975444350104412550e+00	2.844398647013023961e+06	4.052266520371541780e+00
8.136564437985310150e+00	4.715219473447193392e+06	7.151186342858179223e+00
8.300939477136529021e+00	7.454767512301641516e+06	1.197389742471544061e+01
8.468635224149389629e+00	8.960878764315094799e+06	1.517364680315822234e+01
8.639718764031194098e+00	1.122959653152455017e+07	1.995100274393406892e+01
8.814258537041927966e+00	1.277699262640268914e+07	2.376658022575535512e+01
8.992324366073077613e+00	1.314756843908266909e+07	2.557610759643088372e+01
9.173987484579601670e+00	1.330441382684476115e+07	2.699328104673034190e+01
9.359320565076162168e+00	1.332899139140178449e+07	2.808682772506955772e+01
9.548397748209012548e+00	1.390152478341216967e+07	3.024796396107393548e+01
9.741294672415254041e+00	1.469255195627431758e+07	3.283259148557117868e+01
9.938088504181219918e+00	1.525702745057680644e+07	3.487096102535744535e+01
1.013885796891215385e+01	1.525138727569541894e+07	3.555265815920289896e+01
1.034368338242552987e+01	1.494895024303319678e+07	3.544726790463339228e+01
1.055264668308059228e+01	1.498615567052556388e+07	3.601608237937353607e+01
1.076583146455696749e+01	1.535111683339938894e+07	3.723532561770420557e+01
1.098332300929549277e+01	1.502545301501419954e+07	3.665538339926363420e+01
1.120520832261459354e+01	1.382119521727075987e+07	3.379969531445932773e+01
1.143157616751589778e+01	1.195623774641682021e+07	2.921788729297773202e+01
1.166251710019298748e+01	9.891183365312097594e+06	2.408179776105289704e+01
1.189812350625749282e+01	9.072393293634742498e+06	2.192049098070344826e+01
1.213848963769703637e+01	9.383599294021958485e+06	2.242772128249260888e+01
1.238371165057980683e+01	9.448409025120506063e+06	2.230472551934690628e+01
1.263388764352081139e+01	1.022534882029216923e+07	2.377898729769562181e+01
1.288911769692527365e+01	1.183292166623050533e+07	2.702934427245607907e+01
1.314950391302477506e+01	1.195056437318728305e+07	2.679468305816223861e+01
1.341515045672224282e+01	1.018336129084379412e+07	2.240142947077988822e+01
1.368616359726208742e+01	9.711879989578228444e+06	2.089606006425814044e+01
1.396265175074213083e+01	7.713365952947773039e+06	1.622945899706097705e+01
1.424472552348439613e+01	5.726421923223027959e+06	1.176985974547575431e+01
1.453249775628206031e+01	3.691802407032964285e+06	7.407582782438150382e+00
1.482608356954028395e+01	3.146787401835539844e+06	6.154551663683119678e+00
1.512560040932897643e+01	3.389969217567848042e+06	6.457422640081578180e+00
1.543116809436592263e+01	4.030604474897959270e+06	7.473387597552303419e+00
1.574290886394907574e+01	6.030600463582882658e+06	1.086985222716814015e+01
1.606094742685713683e+01	7.616290869120460004e+06	1.334106349896999077e+01
1.638541101123809085e+01	8.531237326639370993e+06	1.451808838022376591e+01
1.671642941550552308e+01	8.714919021727360785e+06	1.440342412776517200e+01
1.705413506026321002e+01	9.074230906210640445e+06	1.455439850224688669e+01
1.739866304127863117e+01	9.302164372164301574e+06	1.447382315064032099e+01
1.775015118352667898e+01	9.324719369179299101e+06	1.407338594872601156e+01
1.810874009632519943e+01	9.109264289189053699e+06	1.333716260896827066e+01
1.839491374864422824e+01	nan	nan
