# wavelength[um] flux[erg/cm2/s/cm]
4.043958187339406152e+00 nan
4.048004168179851980e+00 2.087801692804091424e+07
4.052054197024798299e+00 2.036382698551941290e+07
4.056108277924278305e+00 1.661279970176902600e+07
4.060166414932374401e+00 2.055784792586246878e+07
4.064228612107225302e+00 1.804330604742343351e+07
4.068294873511027809e+00 2.336215797802606598e+07
4.072365203210039475e+00 2.171235879028826207e+07
4.076439605274588374e+00 1.791112616684137285e+07
4.080518083779084648e+00 1.549645229040588625e+07
4.084600642802003634e+00 2.357130153207521141e+07
4.088687286425909839e+00 2.257744688987542689e+07
4.092778018737446288e+00 2.185789069182261452e+07
4.096872843827346067e+00 1.839575573158788309e+07
4.100971765790424328e+00 2.251774477983576059e+07
4.105074788725600499e+00 2.420183800865182653e+07
4.109181916735913376e+00 2.358844845003177598e+07
4.113293153928490042e+00 1.605606018967463821e+07
4.117408504414562742e+00 1.790316832621737570e+07
4.121527972309475985e+00 2.682654876621842384e+07
4.125651561732701644e+00 2.059621497837558389e+07
4.129779276807835409e+00 2.629800680453618243e+07
4.133911121662587895e+00 2.541419155574858561e+07
4.138047100428805081e+00 2.475067228080151230e+07
4.142187217242470076e+00 2.480100916226538643e+07
4.146331476243699576e+00 2.321277495956181362e+07
4.150479881576749186e+00 2.127824006049562618e+07
4.154632437390031185e+00 1.900910301591940224e+07
4.158789147836096767e+00 1.907539205783844739e+07
4.162950017071651132e+00 1.750341353019469976e+07
4.167115049257566817e+00 1.481506601300863363e+07
4.171284248558879248e+00 1.147792839734753035e+07
4.175457619144791188e+00 8.723260735229520127e+06
4.179635165188675394e+00 6.081880966220738366e+06
4.183816890868071070e+00 3.606495534001439344e+06
4.188002800364700740e+00 2.085932919165420812e+06
4.192192897864479129e+00 9.652539355346715311e+05
4.196387187557506060e+00 4.839156076678558602e+05
4.200585673638072670e+00 1.913792583638033248e+05
4.204788360304662298e+00 1.082712472805885482e+05
4.208995251759962919e+00 6.038303165880020970e+04
4.213206352210869809e+00 4.965196896249162819e+04
4.217421665868471337e+00 4.770995070306439447e+04
4.221641196948093366e+00 4.844536492950328102e+04
4.225864949669266402e+00 5.100835991438619385e+04
4.230092928255739793e+00 5.135442459305840748e+04
4.234325136935488842e+00 5.690898420468781114e+04
4.238561579940727242e+00 5.940496399564774038e+04
4.242802261507900852e+00 6.180312167884522933e+04
4.247047185877692144e+00 5.374464050352679624e+04
4.251296357295021089e+00 5.784601506298276217e+04
4.255549780009054928e+00 6.013395392551457917e+04
4.259807458273230374e+00 5.918826412418791006e+04
4.264069396345225194e+00 6.860042728016714682e+04
4.268335598486969751e+00 6.210254167910945398e+04
4.272606068964664772e+00 6.600171399253276468e+04
4.276880812048779568e+00 6.832711591498051712e+04
4.281159832014060029e+00 9.466258636857425154e+04
4.285443133139530403e+00 7.717974951045995113e+04
4.289730719708485296e+00 6.748646118366744486e+04
4.294022596008521653e+00 6.327753046797271236e+04
4.298318766331513885e+00 5.814097328250759165e+04
4.302619234973628970e+00 7.701286395839235047e+04
4.306924006235345104e+00 7.503493492199426692e+04
4.311233084421424167e+00 8.380896128072137071e+04
4.315546473840940145e+00 9.608700002318786574e+04
4.319864178807288901e+00 1.268671107831107656e+05
4.324186203638174852e+00 1.456057436996660836e+05
4.328512552655626955e+00 1.749541888144564873e+05
4.332843230185990713e+00 2.265150258290878846e+05
4.337178240559948605e+00 3.201583519855442573e+05
4.341517588112503212e+00 5.448753236868876265e+05
4.345861277183007410e+00 7.269599809558076086e+05
4.350209312115151938e+00 9.256410337549500400e+05
