# wavelength[um] flux[erg/cm2/s/cm]
4.043958187339406152e+00 nan
4.048004168179851980e+00 2.632761279077101499e+07
4.052054197024798299e+00 2.460073172589357942e+07
4.056108277924278305e+00 1.842362674589057267e+07
4.060166414932374401e+00 2.492296589874077961e+07
4.064228612107225302e+00 2.105143392367336899e+07
4.068294873511027809e+00 2.990576564380619302e+07
4.072365203210039475e+00 2.653254610508409515e+07
4.076439605274588374e+00 2.110991246441647783e+07
4.080518083779084648e+00 1.683298066824103519e+07
4.084600642802003634e+00 3.026930574693675339e+07
4.088687286425909839e+00 2.801151781561616808e+07
4.092778018737446288e+00 2.618481366282223910e+07
4.096872843827346067e+00 2.116809566144638881e+07
4.100971765790424328e+00 2.829699953342498094e+07
4.105074788725600499e+00 3.106073247964932397e+07
4.109181916735913376e+00 2.985432769506489486e+07
4.113293153928490042e+00 1.741351791640314087e+07
4.117408504414562742e+00 2.074061902976311743e+07
4.121527972309475985e+00 3.620193684221707284e+07
4.125651561732701644e+00 2.418103983648883924e+07
4.129779276807835409e+00 3.482348963735027611e+07
4.133911121662587895e+00 3.287510932109211758e+07
4.138047100428805081e+00 3.156985281230734289e+07
4.142187217242470076e+00 3.144832073143222556e+07
4.146331476243699576e+00 2.817352741529423371e+07
4.150479881576749186e+00 2.417900134999333695e+07
4.154632437390031185e+00 2.064780882144721597e+07
4.158789147836096767e+00 1.996490742176391557e+07
4.162950017071651132e+00 1.768286504236286506e+07
4.167115049257566817e+00 1.466509489404881187e+07
4.171284248558879248e+00 1.127394411005581729e+07
4.175457619144791188e+00 8.590059359429461882e+06
4.179635165188675394e+00 6.069785960550490767e+06
4.183816890868071070e+00 3.687700460996354464e+06
4.188002800364700740e+00 2.190424615365184378e+06
4.192192897864479129e+00 1.040882988895623595e+06
4.196387187557506060e+00 5.313133623864036053e+05
4.200585673638072670e+00 2.111254826579855580e+05
4.204788360304662298e+00 1.183998082793727663e+05
4.208995251759962919e+00 6.370151119221122644e+04
4.213206352210869809e+00 5.095617130191098113e+04
4.217421665868471337e+00 4.813792483999893739e+04
4.221641196948093366e+00 4.826980249818161974e+04
4.225864949669266402e+00 5.042086890925605258e+04
4.230092928255739793e+00 5.069593811932281096e+04
4.234325136935488842e+00 5.618406887874873792e+04
4.238561579940727242e+00 5.851423914818379853e+04
4.242802261507900852e+00 6.078277961258897267e+04
4.247047185877692144e+00 5.319381111307740503e+04
4.251296357295021089e+00 5.715026483892256510e+04
4.255549780009054928e+00 6.116922025880257570e+04
4.259807458273230374e+00 5.978287251720904169e+04
4.264069396345225194e+00 6.763554218661831692e+04
4.268335598486969751e+00 6.148472560419808724e+04
4.272606068964664772e+00 6.502912506459786528e+04
4.276880812048779568e+00 6.731827753365047101e+04
4.281159832014060029e+00 9.324258922844220069e+04
4.285443133139530403e+00 7.580924483606382273e+04
4.289730719708485296e+00 6.663602368857213878e+04
4.294022596008521653e+00 6.339079631190528744e+04
4.298318766331513885e+00 5.901650346215320315e+04
4.302619234973628970e+00 7.673593550322078227e+04
4.306924006235345104e+00 7.607584378001641016e+04
4.311233084421424167e+00 8.715177091186575126e+04
4.315546473840940145e+00 1.011347775302972732e+05
4.319864178807288901e+00 1.360405698181656771e+05
4.324186203638174852e+00 1.566626854941338825e+05
4.328512552655626955e+00 1.887748457087723073e+05
4.332843230185990713e+00 2.451760220061106957e+05
4.337178240559948605e+00 3.478253289095178479e+05
4.341517588112503212e+00 5.928972454841342987e+05
4.345861277183007410e+00 7.849722741714667063e+05
4.350209312115151938e+00 9.916498475375402486e+05
4.354561697256974284e+00 1.315304661848179530e+06
4.358918436960855125e+00 1.626120499288750347e+06
4.363279535583538760e+00 2.754175915955750272e+06
4.367644997486123337e+00 3.297902967421077192e+06
4.372014827034064410e+00 3.805525977045978419e+06
4.376389028597194475e+00 4.442473067534443922e+06
4.380767606549714976e+00 5.581904479311341420e+06
4.385150565270209633e+00 7.183056057497118600e+06
4.389537909141639105e+00 8.535101993028089404e+06
4.393929642551338333e+00 9.982804249071603641e+06
4.398325769891044068e+00 1.133171020317607559e+07
4.402726295556887770e+00 1.431610226922021993e+07
4.407131223949391163e+00 1.478367417654295638e+07
4.411540559473484002e+00 1.709563465200103447e+07
4.415954306538509400e+00 1.766243973069161177e+07
4.420372469558211392e+00 2.048670818933433294e+07
4.424795052950750929e+00 2.172256422413178533e+07
4.429222061138705868e+00 2.125841813497029990e+07
4.433653498549093186e+00 2.005590741704218090e+07
4.438089369613354762e+00 2.436579970083954185e+07
4.442529678767354717e+00 2.427283727762525529e+07
4.446974430451398952e+00 2.344859809779777005e+07
4.451423629110244917e+00 2.040037410082302243e+07
4.455877279193092733e+00 1.927983529709964618e+07
4.460335385153590515e+00 1.712639429352928326e+07
4.464797951449841484e+00 1.668947110024185106e+07
4.469264982544411069e+00 1.721882595001107827e+07
4.473736482904336675e+00 1.350134894173073582e+07
4.478212457001122360e+00 1.072294790438352711e+07
4.482692909310737051e+00 8.987810587593382224e+06
4.487177844313640307e+00 9.429692069364665076e+06
4.491667266494762778e+00 9.114510223958270624e+06
4.496161180343516861e+00 5.881857850445972756e+06
4.500659590353822459e+00 4.427695005577113479e+06
4.505162501024093658e+00 4.893727017319520935e+06
4.509669916857241390e+00 4.704661244565200992e+06
4.514181842360688535e+00 2.558307567729447503e+06
4.518698282046352155e+00 2.045621416129891062e+06
4.523219240430670141e+00 2.695343681219715159e+06
4.527744722034610092e+00 1.792630785279696342e+06
4.532274731383646227e+00 9.371054781145735178e+05
4.536809273007785137e+00 1.354000032390221488e+06
4.541348351441579112e+00 1.163808478927430464e+06
4.545891971224099493e+00 4.930936321334463428e+05
4.550440136898975751e+00 7.124132730418177089e+05
4.554992853014370624e+00 6.865561086297635920e+05
