# wavelength[um] flux[W/sr/m2/um]
4.043958187339406152e+00 nan
4.048004168179851980e+00 6.645679192107959432e-01
4.052054197024798299e+00 6.482007450027089668e-01
4.056108277924278305e+00 5.288018382264210171e-01
4.060166414932374401e+00 6.543766233464960447e-01
4.064228612107225302e+00 5.743362694334656071e-01
4.068294873511027809e+00 7.436405846993213720e-01
4.072365203210039475e+00 6.911258455318283200e-01
4.076439605274588374e+00 5.701288531590792408e-01
4.080518083779084648e+00 4.932673964811640221e-01
4.084600642802003634e+00 7.502978307878671593e-01
4.088687286425909839e+00 7.186624549836826414e-01
4.092778018737446288e+00 6.957582698331794546e-01
4.096872843827346067e+00 5.855550913186553519e-01
4.100971765790424328e+00 7.167620777985167502e-01
4.105074788725600499e+00 7.703684301972500981e-01
4.109181916735913376e+00 7.508436341381830026e-01
4.113293153928490042e+00 5.110802691535426545e-01
4.117408504414562742e+00 5.698755472247499787e-01
4.121527972309475985e+00 8.539155684478896280e-01
4.125651561732701644e+00 6.555978845583616543e-01
4.129779276807835409e+00 8.370915552812466798e-01
4.133911121662587895e+00 8.089588421563388421e-01
4.138047100428805081e+00 7.878383676674234337e-01
4.142187217242470076e+00 7.894406403683845719e-01
4.146331476243699576e+00 7.388855755388067381e-01
4.150479881576749186e+00 6.773074171847739411e-01
4.154632437390031185e+00 6.050785417453257153e-01
4.158789147836096767e+00 6.071885874841740360e-01
4.162950017071651132e+00 5.571509568624096742e-01
4.167115049257566817e+00 4.715781976406123732e-01
4.171284248558879248e+00 3.653538081785391300e-01
4.175457619144791188e+00 2.776700131782438574e-01
4.179635165188675394e+00 1.935922838141086177e-01
4.183816890868071070e+00 1.147983182950347708e-01
4.188002800364700740e+00 6.639730700865673074e-02
4.192192897864479129e+00 3.072498703584973165e-02
4.196387187557506060e+00 1.540351219993151000e-02
4.200585673638072670e+00 6.091790994772050896e-03
4.204788360304662298e+00 3.446380839886120477e-03
4.208995251759962919e+00 1.922051593474492347e-03
4.213206352210869809e+00 1.580471258925181602e-03
4.217421665868471337e+00 1.518654897812669186e-03
4.221641196948093366e+00 1.542063859684239362e-03
4.225864949669266402e+00 1.623646523877009988e-03
4.230092928255739793e+00 1.634662104725048129e-03
4.234325136935488842e+00 1.811469228502931867e-03
4.238561579940727242e+00 1.890918732820681420e-03
4.242802261507900852e+00 1.967254462739619070e-03
4.247047185877692144e+00 1.710745040166636354e-03
4.251296357295021089e+00 1.841295847088388754e-03
4.255549780009054928e+00 1.914123202981185892e-03
4.259807458273230374e+00 1.884020961678639205e-03
4.264069396345225194e+00 2.183619419970941194e-03
4.268335598486969751e+00 1.976785297360144755e-03
4.272606068964664772e+00 2.100899806889821274e-03
4.276880812048779568e+00 2.174919649016411778e-03
4.281159832014060029e+00 3.013203709284412342e-03
4.285443133139530403e+00 2.456707728236797936e-03
4.289730719708485296e+00 2.148160777831999418e-03
4.294022596008521653e+00 2.014186352125173912e-03
4.298318766331513885e+00 1.850684658816980580e-03
4.302619234973628970e+00 2.451395596128362261e-03
4.306924006235345104e+00 2.388436159482813532e-03
4.311233084421424167e+00 2.667722092644813671e-03
4.315546473840940145e+00 3.058544204112282044e-03
4.319864178807288901e+00 4.038305559383835106e-03
4.324186203638174852e+00 4.634774770474691351e-03
