# wavelength[um] flux[W/sr/m2/um]
4.043958187339406152e+00 nan
4.048004168179851980e+00 5.245885691877875123e-01
4.052054197024798299e+00 4.520988733272162663e-01
4.056108277924278305e+00 3.166568267510324608e-01
4.060166414932374401e+00 4.698986230139318154e-01
4.064228612107225302e+00 3.801344275576347687e-01
4.068294873511027809e+00 5.948650904505249359e-01
4.072365203210039475e+00 5.157981740180958008e-01
4.076439605274588374e+00 3.956716401732966459e-01
4.080518083779084648e+00 2.836695592188284709e-01
4.084600642802003634e+00 6.853372894167473195e-01
4.088687286425909839e+00 5.815244903792087250e-01
4.092778018737446288e+00 5.327727458975654029e-01
4.096872843827346067e+00 4.139571796926811986e-01
4.100971765790424328e+00 6.317511653837490915e-01
4.105074788725600499e+00 6.691376380312991090e-01
4.109181916735913376e+00 6.528409376946859854e-01
4.113293153928490042e+00 3.022117949148639404e-01
4.117408504414562742e+00 3.840147938271407657e-01
4.121527972309475985e+00 8.211118613152055268e-01
4.125651561732701644e+00 4.693129361041077363e-01
4.129779276807835409e+00 7.794318308755382452e-01
4.133911121662587895e+00 7.265940551361947941e-01
4.138047100428805081e+00 7.017026271519500868e-01
4.142187217242470076e+00 6.789731720923535274e-01
4.146331476243699576e+00 6.037927521181594148e-01
4.150479881576749186e+00 4.999093379260854397e-01
4.154632437390031185e+00 4.517809609374791036e-01
4.158789147836096767e+00 4.923919166461517283e-01
4.162950017071651132e+00 4.850346374373369351e-01
4.167115049257566817e+00 4.249745131763597583e-01
4.171284248558879248e+00 3.254456724205762597e-01
4.175457619144791188e+00 2.529965332259205280e-01
4.179635165188675394e+00 1.845309152577755130e-01
4.183816890868071070e+00 1.062102986355857454e-01
4.188002800364700740e+00 6.489305007918706736e-02
4.192192897864479129e+00 3.021345100820396756e-02
4.196387187557506060e+00 1.603818295834289268e-02
4.200585673638072670e+00 6.431176942181378309e-03
4.204788360304662298e+00 3.615758878788877338e-03
4.208995251759962919e+00 1.978725038762220619e-03
4.213206352210869809e+00 1.598271824509300094e-03
4.217421665868471337e+00 1.521426499685550084e-03
4.221641196948093366e+00 1.540465466218717255e-03
4.225864949669266402e+00 1.615272705302029516e-03
4.230092928255739793e+00 1.642570908000122454e-03
4.234325136935488842e+00 1.798808674586626624e-03
4.238561579940727242e+00 1.866236614427906407e-03
4.242802261507900852e+00 1.939892411956254618e-03
4.247047185877692144e+00 1.696612868396489169e-03
4.251296357295021089e+00 1.815388303727985715e-03
4.255549780009054928e+00 1.927469819456196056e-03
4.259807458273230374e+00 1.897370530147028710e-03
4.264069396345225194e+00 2.153326536213873762e-03
4.268335598486969751e+00 1.966131719643816628e-03
4.272606068964664772e+00 2.076989914248893176e-03
4.276880812048779568e+00 2.147218492178055906e-03
4.281159832014060029e+00 2.980402828732642891e-03
4.285443133139530403e+00 2.416790429725687583e-03
4.289730719708485296e+00 2.122927096541642016e-03
4.294022596008521653e+00 2.009425249924624846e-03
4.298318766331513885e+00 1.859711913262019831e-03
4.302619234973628970e+00 2.431185285528386728e-03
4.306924006235345104e+00 2.403688296760986623e-03
4.311233084421424167e+00 2.720344703507841799e-03
4.315546473840940145e+00 3.150269481062027265e-03
4.319864178807288901e+00 4.186024074484671897e-03
4.324186203638174852e+00 4.820236235395238336e-03
4.328512552655626955e+00 5.798796676957344506e-03
4.332843230185990713e+00 7.524782821343820906e-03
4.337178240559948605e+00 1.059767678135766465e-02
4.341517588112503212e+00 1.811672347454209436e-02
4.345861277183007410e+00 2.390735282312264620e-02
4.350209312115151938e+00 3.023688807115161928e-02
4.354561697256974284e+00 3.976115410578354853e-02
4.358918436960855125e+00 5.004471270327862792e-02
4.363279535583538760e+00 8.493000079187063012e-02
4.367644997486123337e+00 1.013667165619422661e-01
4.372014827034064410e+00 1.175830004563076514e-01
4.376389028597194475e+00 1.362870473273724570e-01
4.380767606549714976e+00 1.729967226335334118e-01
4.385150565270209633e+00 2.192422182819763476e-01
4.389537909141639105e+00 2.647956124034204772e-01
4.393929642551338333e+00 3.034328644601735903e-01
4.398325769891044068e+00 3.458362430996306247e-01
4.402726295556887770e+00 4.443320455402162694e-01
4.407131223949391163e+00 4.628959930609305995e-01
4.411540559473484002e+00 5.363320824275952248e-01
4.415954306538509400e+00 5.490245540940644764e-01
4.420372469558211392e+00 6.498499773725674444e-01
4.424795052950750929e+00 6.933538590813401736e-01
4.429222061138705868e+00 6.670120414157649780e-01
4.433653498549093186e+00 6.258434006050805909e-01
4.438089369613354762e+00 7.981968787002654553e-01
4.442529678767354717e+00 7.929491688816525663e-01
4.446974430451398952e+00 8.318370688807278368e-01
4.451423629110244917e+00 7.382572659573554130e-01
4.455877279193092733e+00 7.211093228701350721e-01
4.460335385153590515e+00 6.589715665273657708e-01
4.464797951449841484e+00 6.610963886135774459e-01
4.469264982544411069e+00 6.698585549300615227e-01
4.473736482904336675e+00 5.559237760586682731e-01
4.478212457001122360e+00 4.654447076230051050e-01
4.482692909310737051e+00 3.999367210684978691e-01
4.487177844313640307e+00 4.260651459221314608e-01
4.491667266494762778e+00 4.269560287903427787e-01
4.496161180343516861e+00 2.951159660207591795e-01
4.500659590353822459e+00 2.336312207295684062e-01
4.505162501024093658e+00 2.558045045209013657e-01
4.509669916857241390e+00 2.567248110544322337e-01
4.514181842360688535e+00 1.485519346626958670e-01
4.518698282046352155e+00 1.227220357633729275e-01
4.523219240430670141e+00 1.614370532209472020e-01
4.527744722034610092e+00 1.128923252869528521e-01
4.532274731383646227e+00 6.352732818125529646e-02
4.536809273007785137e+00 9.083105334925148378e-02
4.541348351441579112e+00 8.224688462816005796e-02
4.545891971224099493e+00 3.584946949416187301e-02
4.550440136898975751e+00 5.119325204324811501e-02
4.554992853014370624e+00 5.099342739968611843e-02
4.559550124122995207e+00 2.026218328393914608e-02
4.564111954782122282e+00 3.269306676321414445e-02
4.568678349553586315e+00 3.179281923774765484e-02
4.573249313003776351e+00 1.284284511453046528e-02
4.577824849703659993e+00 2.576643848270507298e-02
4.582404964228774524e+00 1.960259323681834767e-02
4.586989661159233123e+00 1.041434749731422194e-02
4.591578945079738183e+00 2.171252055551378679e-02
4.596172820579575991e+00 1.114977074362319756e-02
4.600771292252614941e+00 1.320116077436482918e-02
4.605374364697328637e+00 1.778119632508930181e-02
4.609982042516789669e+00 7.441579495293005643e-03
4.614594330318677606e+00 1.786381211631864890e-02
4.619211232715274562e+00 1.189310330869055611e-02
4.623832754323488281e+00 1.214512515099854147e-02
4.628458899764849477e+00 1.994235237485795370e-02
4.633089673665492292e+00 8.167476770739912767e-03
4.637725080656193377e+00 2.523751669923463697e-02
4.642365125372356793e+00 1.357930101236345943e-02
4.647009812454028221e+00 2.619770999422742219e-02
4.651659146545906509e+00 3.532710819382425121e-02
4.656313132297318802e+00 2.770086394398731805e-02
4.660971774362248077e+00 1.072379728337627541e-01
4.665635077399347352e+00 2.152594556469465681e-01
4.670303046071911268e+00 1.303910153969309871e-01
4.674975685047906282e+00 2.592404436673310247e-02
4.679652998999974223e+00 4.833864475709596237e-02
4.684334992605429626e+00 2.558364713406610993e-02
4.689021670546271281e+00 2.866241819813060421e-02
4.693713037509176011e+00 2.724252343690429512e-02
4.698409098185504895e+00 1.778012507733062186e-02
4.703109857271324579e+00 3.214185142663708583e-02
4.707815319467393955e+00 1.298652597456762155e-02
4.712525489479173046e+00 3.505274989905328431e-02
4.717240372016835437e+00 1.118019290505200061e-02
4.721959971795260280e+00 4.027150644526339418e-02
4.726684293534048287e+00 1.112832674745341081e-02
4.731413341957528829e+00 4.456166991002237510e-02
4.736147121794751946e+00 1.281362063620751848e-02
4.740885637779490125e+00 5.230807635802810218e-02
4.745628894650255170e+00 1.540721129703276175e-02
4.750376897150309752e+00 6.176902025554424636e-02
4.755129650027656751e+00 1.933429877486618487e-02
4.759887158035051691e+00 7.531336801037609441e-02
4.764649425930005400e+00 2.408712517297783434e-02
4.769416458474777798e+00 9.491711179607741078e-02
4.774188260436393882e+00 2.837919867730645182e-02
4.778964836586673037e+00 1.141406767238002107e-01
4.783746191702191730e+00 3.409850263510007945e-02
4.788532330564299500e+00 1.542846212598270039e-01
4.793323257959137607e+00 4.441274204593805008e-02
4.798118978677631041e+00 1.921739285605615633e-01
4.802919497515497405e+00 5.654431222786687750e-02
4.807724819273262007e+00 1.970459082580538479e-01
4.812534948756252540e+00 4.453948121428190354e-02
4.817349890774592858e+00 2.156424960701018023e-01
4.822169650143221631e+00 9.518887397798130034e-02
4.826994231681898562e+00 2.103011745583341363e-01
4.831823640215216820e+00 1.376545519922633132e-01
4.836657880572579948e+00 2.219035290218642764e-01
4.841496957588230288e+00 1.597779193625339933e-01
4.846340876101235651e+00 2.274030703893093752e-01
4.851189640955513305e+00 3.312974503735125476e-01
4.856043256999840629e+00 2.083335571431113031e-01
4.860901729087831136e+00 3.958891645878560572e-01
4.865765062077957559e+00 2.322245667706866468e-01
4.870633260833544753e+00 4.513962967252401204e-01
4.875506330222795448e+00 2.649492146750821453e-01
4.880384275118787585e+00 5.436615436950705815e-01
4.885267100399468099e+00 3.269845394907414105e-01
4.890154810947647590e+00 4.917341759401410162e-01
4.895047411651042069e+00 5.564671744702900380e-01
4.899944907402259631e+00 3.379711955045578975e-01
4.904847303098789801e+00 7.819109778055473026e-01
4.909754603643035509e+00 5.377066890841112334e-01
4.914666813942293544e+00 8.991358735321496320e-01
4.919583938908781207e+00 7.261710495326754167e-01
4.924505983459624758e+00 1.142658993133444545e+00
4.929432952516856759e+00 1.005601359162919595e+00
4.934364851007448038e+00 6.716527560498375404e-01
4.939301683863292602e+00 1.252455537289838938e+00
4.944243456021227168e+00 7.722965974105474585e-01
4.949190172423037382e+00 1.173917442360229435e+00
4.954141838015429400e+00 4.404956409444569787e-01
4.959098457750073408e+00 5.608238083016895414e-01
4.964060036583591184e+00 1.269998522786815576e+00
4.969026579477557881e+00 1.372584497358918521e+00
4.973998091398528665e+00 1.442301549285711859e+00
4.978974577317995198e+00 7.696245248207191914e-01
4.983956042212439819e+00 1.525120914804765970e+00
4.988942491063345308e+00 1.495749731132590910e+00
4.993933928857153148e+00 1.604261227659388611e+00
4.998930360585300825e+00 1.375208822240604034e+00
5.003931791244230709e+00 8.584556491671139211e-01
5.008938225835386504e+00 1.465092667748236765e+00
5.013949669365177719e+00 1.077269210819350009e+00
5.018966126845049835e+00 1.730862350414664463e-01
5.023987603291483417e+00 8.776567605063413380e-01
5.029014103725941709e+00 5.668708932340251749e-01
5.034045633174911494e+00 1.290148823286278335e+00
5.039082196669929736e+00 1.559772509807997753e+00
5.044123799247563156e+00 1.639059842756063423e+00
5.049170445949409114e+00 1.791337644142291019e+00
5.054222141822116932e+00 1.734826328874881751e+00
5.059278891917391441e+00 1.312450976600901820e+00
5.064340701291981439e+00 1.701564020088211615e+00
5.069407575007690347e+00 1.714490189087080285e+00
5.074479518131395750e+00 1.493496989153851429e+00
5.079556535735048506e+00 8.643327756669019202e-01
5.084638632895669197e+00 2.810836191731617140e-01
5.089725814695342798e+00 1.246696654332198895e+00
5.094818086221257758e+00 1.386817377866045309e+00
5.099915452565697116e+00 9.075285709576217386e-01
5.105017918826000312e+00 1.502429383188897738e+00
5.110125490104636903e+00 9.781724133301696877e-01
5.115238171509194132e+00 7.875935039070518506e-01
5.120355968152357384e+00 1.531910843922507981e+00
5.125478885151911967e+00 1.346479331445522565e+00
5.130606927630776859e+00 1.216930968100306654e+00
5.135740100717002932e+00 7.174346060066820741e-01
5.140878409543741867e+00 4.078717897432292405e-01
5.146021859249313657e+00 3.121813992564138052e-01
5.151170454977185287e+00 5.382117609621797083e-01
5.156324201875936986e+00 1.138153217549508822e+00
5.161483105099309299e+00 1.326865660956776383e+00
5.166647169806227069e+00 1.382691198877909811e+00
5.171816401160747922e+00 6.380229659011386056e-01
5.176990804332091578e+00 1.295131106771158169e+00
5.182170384494675375e+00 1.466002874320329274e+00
5.187355146828076080e+00 1.285578376922375199e+00
5.192545096517046765e+00 1.035164641993884693e+00
5.197740238751555886e+00 4.250150582509245045e-01
5.202940578726747312e+00 3.498373572400031439e-01
5.208146121642936777e+00 5.870228642735088043e-01
5.213356872705670497e+00 1.411952774194190074e-01
5.218572837125715402e+00 5.810254918815256353e-01
5.223794020119036041e+00 9.011817675257881577e-01
5.229020426906815011e+00 1.034540325507046887e+00
5.234252062715459175e+00 3.773511485297854073e-01
5.239488932776602326e+00 3.582979162109717342e-01
5.244731042327116732e+00 8.852232265191136706e-01
5.249978396609109588e+00 6.136747575324787984e-01
5.255231000869925673e+00 1.122508259512201789e+00
5.260488860362181995e+00 1.149252190140799490e+00
5.265751980343742922e+00 1.192541933928812803e+00
5.271020366077721064e+00 9.845130647803819191e-01
5.276294022832505703e+00 3.066893462584828201e-01
5.281572955881746800e+00 8.160411425614898517e-01
5.286857170504389636e+00 7.482464175991601074e-01
5.292146671984641948e+00 1.345923624278963782e-01
5.297441465612009459e+00 7.404366284375908380e-01
5.302741556681281665e+00 8.111960431108057312e-01
5.308046950492545157e+00 6.365726435831410290e-01
5.313357652351208493e+00 1.334010663880209835e+00
5.318673667567959562e+00 1.232659127001063171e+00
5.323995001458826870e+00 1.317563537888402969e+00
5.329321659345144901e+00 1.038212153045853681e+00
5.334653646553559447e+00 1.148333617844852217e+00
5.339990968416064021e+00 8.525800663791205380e-01
5.345333630269974101e+00 3.137405511602327501e-01
5.350681637457967987e+00 5.448236838233876111e-02
5.356034995328045945e+00 1.071984846131812108e-01
5.361393709233554183e+00 6.100084018426711330e-01
5.366757784533227493e+00 9.747480436208970644e-01
5.372127226591127069e+00 8.651553843611525796e-01
5.377502040776687586e+00 9.145416478616609224e-01
5.382882232464750061e+00 8.608611263021519466e-01
5.388267807035500567e+00 1.050767075282856622e+00
5.393658769874506653e+00 1.099800955361732946e+00
5.399055126372735103e+00 8.178372069159334234e-01
5.404456881926535949e+00 9.660018237222944837e-01
5.409864041937665569e+00 4.169215980039569502e-01
5.415276611813294672e+00 3.302981004823083988e-01
5.420694596965989653e+00 5.756267236727853620e-02
5.426118002813722363e+00 1.751813546751059270e-01
5.431546834779906519e+00 6.105541204415545486e-01
5.436981098293380832e+00 7.993081655340581460e-01
5.442420798788408121e+00 3.560146026320137880e-01
5.447865941704685966e+00 6.526380110885897645e-01
5.453316532487360035e+00 7.345677405661773518e-01
5.458772576587027636e+00 4.436222325618188189e-01
5.464234079459717286e+00 5.108072096926217359e-02
5.469701046566937563e+00 2.333851104406061416e-01
5.475173483375657568e+00 3.287882456891454419e-01
5.480651395358322020e+00 1.985302293761121994e-01
5.486134787992848594e+00 6.104460434083842646e-01
